place,movie_title,rating,year,star_cast
239, Cool Hand Luke,8.019650731597078,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
240, Les quatre cents coups,8.015760773956245,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241, Ah-ga-ssi,8.01375306574609,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
242, The Sound of Music,8.012860648982558,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
243, It Happened One Night,8.012813195923142,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244, Persona,8.012708126932196,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
245, Life of Brian,8.011829402241537,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
246, Dersu Uzala,8.00820273348432,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247, Aladdin,8.005179404232738,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248, The Help,8.004887918035053,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
249, The Iron Giant,8.004609739553098,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
250, Gandhi,8.00436320102263,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
